name,url,description,job_levels,languages,assessment_length,test_types,remote_testing,downloads
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,"The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. Potential job titles that use this solution are: Life Insurance Sales Professional, Insurance Sales Agent. Multiple configurations of this solution are available.","Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 44,"A, B, P",No,"[{'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact Sheet_ Financial Services Representative One Sitting_USE.pdf'}]"
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,"The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. Potential job titles that use this solution are: Front Desk Clerk, Guest Desk Attendant, Guest Check-in Associate, or Front Office Agent. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 50,"A, B, P",No,"[{'name': 'Fact Sheet Hospitality Suite Front Desk Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Front Desk Associate One Sitting_USE.pdf'}]"
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,"The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused positions that may potentially deal with large sums of money. Sample tasks may include: dealing playing cards, counting and confirming patron bets, collecting patron losses and distributing patron winnings, and exchange currency for playing chips. Potential job titles that use this solution are: Table Games Dealer, Black Jack Dealer, Dealer, Casino Dealer, Dual Rate Dealer, Card Dealer and Gaming Dealer. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 50,"A, B, P, S",No,"[{'name': 'Fact Sheet Hospitality Suite Gaming Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Gaming Associate One Sitting_USE.pdf'}]"
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,"The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors and associates within gaming environments. The solution is focused on security, integrity and managing sales. Potential job titles that use this solution are: Gaming Floor Manager and Gaming Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",Approximate Completion Time in minutes = 55,"S, A, B, K, P",No,"[{'name': 'Fact Sheet Hospitality Suite Gaming Manager One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Gaming Manager One Sitting_USE.pdf'}]"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,"Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.","Entry-Level,","English (USA), English International, French (Canada), Latin American Spanish,",Approximate Completion Time in minutes = 19,B,No,"[{'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/General Entry Level All Industries Candidate Detailed Report NAS.pdf'}, {'name': 'Development Report', 'url': 'https://service.shl.com/docs/General Entry Level All Industries Candidate Development Report NAS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/General Entry Level All Industries Candidate Interview Report NAS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GeneralEntryLevel_AllIndustries_InterviewReport.pdf'}, {'name': 'Development Report', 'url': 'https://service.shl.com/docs/GeneralEntryLevel_AllIndustries_DevelopmentReport.pdf'}, {'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Gen Entry Level – All Industries_Fact Sheet.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GeneralEntryLevel_AllIndustries_DetailedReport.pdf'}]"
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,"Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector. “MCP Product: please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International.""","Entry-Level,","German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian,",Approximate Completion Time in minutes = 19,B,No,[]
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,"Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.","Entry-Level,","Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish,",Approximate Completion Time in minutes = 19,B,No,[]
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,"Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner.  

This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant.
Report Language Availability: English (USA)","General Population, Entry-Level,","English (USA),",Approximate Completion Time in minutes = 24,"B, K",No,"[{'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample Report - Detailed Data Entry 7.0.pdf'}, {'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Gen Entry Level – Data Entry_Fact Sheet.pdf'}, {'name': 'Development Report', 'url': 'https://service.shl.com/docs/Sample Report - Development Data Entry 7.0.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample Report - Interview Data Entry 7.0.pdf'}]"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,"The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you identify graduates with the highest potential to contribute and succeed, as well as providing actionable feedback to help you onboard new hires.

It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.","Graduate,","Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese,",Approximate Completion Time in minutes = 30 minutes,"A, B, P",No,"[{'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report - UKE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - UKE.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0%2B Candidate Report UKE - Medium (1).pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Candidate Report_ELA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Detailed Report_ELA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Interview Report_ELA.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0%2B Candidate Report - Medium (1).pdf'}, {'name': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Graduate_%2B 8.0_FactSheet(USE)[1866].pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report - USE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - USE.pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate%2B 8.0 Product Fact sheet.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/sample candidate report.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/sample detailed report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/sample interview report.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report Traditional chinese.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report Traditional chinese.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report Traditional chinese.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0CandidateReport_CHS.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0DetailedReport_CHS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0InterviewReport_CHS.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Samplereports_Grad%2B_Grad8.0@sample.report_Graduate%2B8.0CandidateReport_1097734.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Samplereports_Grad%2B_Grad8.0@sample.report_Graduate%2B8.0DetailedReport_1097734.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Samplereports_Grad%2B_Grad8.0@sample.report_Graduate%2B8.0InterviewReport_1097734.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_CandidateReport_Dutch.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_DetailedReport_Dutch.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_InterviewReport_Dutch.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_sample@candidate2.sss_Graduate%2B8.0CandidateReport_1041535.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_sample@candidate2.sss_Graduate%2B8.0DetailedReport_1041535.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_sample@candidate2.sss_Graduate%2B8.0InterviewReport_1041535.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate0402@shl.com_Graduate%2B8.0CandidateReport_13209098.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate0402@shl.com_Graduate%2B8.0DetailedReport_13209098.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate0402@shl.com_Graduate%2B8.0InterviewReport_13209098.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0  Candidate.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0  Detailed.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Interview.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0CandidateReport_NOR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0DetailedReport_NOR.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate%2B8.0InterviewReport_NOR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Detailed Report Romanian.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Candidate Report Romanian.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Interview Report Romanian.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report Swedish.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report Swedish.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report Swedish.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Candidate Report Turkish.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Detailed Report Turkish.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate %2B 8.0 Interview Report Turkish.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Candidate Report_BRA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Detailed Report_BRA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate%2B8.0_Interview Report_BRA.pdf'}]"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,"Graduate,","Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil),",Approximate Completion Time in minutes = 19,"B, C",No,"[{'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 7.1 sample interview report.pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate 7.0 Fact Sheet_USE.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_INT.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_INT.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_LAS.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_LAS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_LAS.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport CHS.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport CHS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport CHS.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_JAP.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_JAP.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_JAP.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_NED.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_NED.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_NED.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_FRA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_FRA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_FRA.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport DEU.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport DEU.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport DEU.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_ITA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_ITA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_ITA.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_POL.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_POL.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_POL.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_RUS.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_RUS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_RUS.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport_SVE.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport_SVE.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport_SVE.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/GraduateCandidateReport BRA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/GraduateDetailedReport BRA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/GraduateInterviewReport BRA.pdf'}]"
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,"The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires.

It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.","Graduate,","English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish,",Approximate Completion Time in minutes = 20 minutes,"P, B",No,"[{'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report UKE - High (1).pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/UKE_Graduate_8.0_Detailed_Report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/UKE_Graduate_8.0_Interview_Report.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Candidate_Report.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Detailed_Report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/ELA_Graduate_8.0_Interview_Report.pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Graduate_8.0_FactSheet(USE).pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report - High (1).pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/USE_Graduate_8.0_Detailed_Report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/USE_Graduate_8.0_Interview_Report.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0 CandidateReport ARB.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0 DetailedReport ARB.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Graduate8.0 InterviewReport ARB.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0CandidateReport_CHT_1095528.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0DetailedReport_CHT_1095528.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0InterviewReport_CHT_1095528.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report -  Graduate 8 CHS.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report -  Graduate 8 CHS.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - Graduate 8 CHS.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0CandidateReport_Danish1095528.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0DetailedReport_Danish1095528.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Graduate8.0InterviewReport_Danish1095528.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0CandidateReport_13140811.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0DetailedReport_13140811.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_SampleCandidate.02.02@shl.com_Graduate8.0InterviewReport_13140811.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0CandidateReport_13140811.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0DetailedReport_13140811.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Sample_Candidate_Finnish_Graduate8.0InterviewReport_13140811.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Candidate Report - Graduate 8 FRA.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Detailed Report - Graduate 8 FRA.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Interview Report - Graduate 8 FRA.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Candidate_Report.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Detailed_Report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/German_Graduate_8.0_Interview_Report.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0  Candidate.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0  Detailed.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Interview.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Candidate_Report.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Detailed_Report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate8.0_NOR_Interview_Report.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Interview Report Romanian.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Detailed Report Romanian.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report Romanian.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_CandidateReport.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_DetailedReport.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate8.0_Swedish_InterviewReport.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Detailed Report Turkish.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Candidate Report Turkish.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0 Interview Report Turkish.pdf'}, {'name': 'Candidate Report', 'url': 'https://service.shl.com/docs/Graduate 8.0_Candidate Report_PTBR.pdf'}, {'name': 'Detailed Report', 'url': 'https://service.shl.com/docs/Graduate 8.0_Detailed Report_PTBR.pdf'}, {'name': 'Interview Report', 'url': 'https://service.shl.com/docs/Graduate 8.0_Interview Report_PTBR.pdf'}]"
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,"Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. 

Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,","French (Canada), Latin American Spanish, English (USA), English International,",Approximate Completion Time in minutes = 18,B,No,"[{'name': 'Sample Report - Detailed', 'url': 'https://service.shl.com/docs/Guest Service Team Candidate Detailed Report NAS.pdf'}, {'name': 'Sample Report - Development', 'url': 'https://service.shl.com/docs/Guest Service Team Candidate Development Report NAS.pdf'}, {'name': 'Sample Report - Interview', 'url': 'https://service.shl.com/docs/Guest Service Team Candidate Interview Report NAS.pdf'}, {'name': 'Sample Report - Development', 'url': 'https://service.shl.com/docs/Guest Service Team 7.0 - Sample DevelopmentReport.pdf'}, {'name': 'Sample Report – Interview', 'url': 'https://service.shl.com/docs/Guest Service Team 7.0 - Sample Interview Report.pdf'}, {'name': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/7.0GuestServiceTeam_FactSheet(USE)v2.pdf'}, {'name': 'Sample Report - Detailed', 'url': 'https://service.shl.com/docs/Guest Service Team - Sample Detailed Report.pdf'}]"
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,"The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly customer service focused positions with few to no sales components. Sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommentations to guests, arranging transportation for guests, and making reservations. Potential job titles that use this solution are: Concierge, Guest Services Agent, Club Concierge, Hotel Concierge, Front Office Manager and Guest Services Associate. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",Approximate Completion Time in minutes = 48,"A, B, P, S",No,"[{'name': 'Fact Sheet Hospitality Suite Guest Services Associate One Sitting_USE', 'url': 'https://service.shl.com/docs/Fact Sheet Hospitality Suite Guest Services Associate One Sitting_USE.pdf'}]"
